ConfigID,Safety,Math,PPL,SafetyDelta,MathDelta,PPLDelta,Score
L0_A0.3,0.82,0.32,8.214921951293945,0.039999999999999925,-0.08000000000000002,-0.026096343994140625,-0.04000000000000009
L0_A0.5,0.82,0.44,8.49327278137207,0.039999999999999925,0.03999999999999998,0.2522544860839844,0.018780748435368796
L0_A-0.3,0.78,0.4,8.322266578674316,0.0,0.0,0.08124828338623047,-0.01971802038898161
L0_A-0.5,0.8,0.44,8.390686988830566,0.020000000000000018,0.03999999999999998,0.14966869354248047,0.02367713596072088
L2_A0.3,0.74,0.36,8.302163124084473,-0.040000000000000036,-0.040000000000000036,0.06114482879638672,-0.09483914404882401
L2_A0.5,0.7,0.44,8.4590482711792,-0.08000000000000007,0.03999999999999998,0.21802997589111328,-0.09291335805328214
L2_A-0.3,0.76,0.48,8.275607109069824,-0.020000000000000018,0.07999999999999996,0.03458881378173828,0.05160569421341653
L2_A-0.5,0.72,0.44,8.323786735534668,-0.06000000000000005,0.03999999999999998,0.08276844024658203,-0.040086944909200437
L4_A0.3,0.78,0.48,8.32402229309082,0.0,0.07999999999999996,0.08300399780273438,0.059855887991367956
L4_A0.5,0.74,0.32,8.416918754577637,-0.040000000000000036,-0.08000000000000002,0.17590045928955078,-0.1626890107476462
L4_A-0.3,0.8,0.48,8.192524909973145,0.020000000000000018,0.07999999999999996,-0.048493385314941406,0.09999999999999998
L4_A-0.5,0.78,0.32,8.202016830444336,0.0,-0.08000000000000002,-0.03900146484375,-0.08000000000000002
L6_A0.3,0.72,0.44,8.281891822814941,-0.06000000000000005,0.03999999999999998,0.04087352752685547,-0.029919533257249477
L6_A0.5,0.76,0.44,8.383492469787598,-0.020000000000000018,0.03999999999999998,0.14247417449951172,-0.014576837326273968
L6_A-0.3,0.78,0.48,8.267036437988281,0.0,0.07999999999999996,0.026018142700195312,0.07368569713889078
L6_A-0.5,0.74,0.36,8.318367958068848,-0.040000000000000036,-0.040000000000000036,0.07734966278076172,-0.09877187017652606
L8_A0.3,0.76,0.52,8.242928504943848,-0.020000000000000018,0.12,0.0019102096557617188,0.09953641416938633
L8_A0.5,0.78,0.48,8.277862548828125,0.0,0.07999999999999996,0.03684425354003906,0.07105832502250227
L8_A-0.3,0.72,0.4,8.286480903625488,-0.06000000000000005,0.0,0.045462608337402344,-0.07103325019030632
L8_A-0.5,0.78,0.4,8.349305152893066,0.0,0.0,0.10828685760498047,-0.026279970199045658
L10_A0.3,0.76,0.44,8.334420204162598,-0.020000000000000018,0.03999999999999998,0.09340190887451172,-0.0026675649847581785
L10_A0.5,0.78,0.44,8.460884094238281,0.0,0.03999999999999998,0.2198657989501953,-0.01335889111565415
L10_A-0.3,0.78,0.36,8.228533744812012,0.0,-0.040000000000000036,-0.012484550476074219,-0.040000000000000036
L10_A-0.5,0.78,0.36,8.266072273254395,0.0,-0.040000000000000036,0.025053977966308594,-0.04608031121120886
L12_A0.3,0.8,0.4,8.26864242553711,0.020000000000000018,0.0,0.027624130249023438,0.013295942501470277
L12_A0.5,0.8,0.36,8.353203773498535,0.020000000000000018,-0.040000000000000036,0.11218547821044922,-0.0472261204115013
L12_A-0.3,0.78,0.48,8.308347702026367,0.0,0.07999999999999996,0.06732940673828125,0.06365993028391215
L12_A-0.5,0.8,0.44,8.40316104888916,0.020000000000000018,0.03999999999999998,0.16214275360107422,0.020649825594057584
L14_A0.3,0.76,0.44,8.278436660766602,-0.020000000000000018,0.03999999999999998,0.037418365478515625,0.010918994682996824
L14_A0.5,0.74,0.36,8.370528221130371,-0.040000000000000036,-0.040000000000000036,0.12950992584228516,-0.1114305638458137
L14_A-0.3,0.8,0.48,8.295564651489258,0.020000000000000018,0.07999999999999996,0.054546356201171875,0.08676222907250197
L14_A-0.5,0.8,0.48,8.380436897277832,0.020000000000000018,0.07999999999999996,0.1394186019897461,0.06616471484611054
L16_A0.3,0.78,0.48,8.277350425720215,0.0,0.07999999999999996,0.036332130432128906,0.07118261138847308
L16_A0.5,0.78,0.4,8.384471893310547,0.0,0.0,0.14345359802246094,-0.03481453210812127
L16_A-0.3,0.8,0.36,8.31468391418457,0.020000000000000018,-0.040000000000000036,0.07366561889648438,-0.03787779525707491
L16_A-0.5,0.76,0.4,8.415539741516113,-0.020000000000000018,0.0,0.17452144622802734,-0.06235434019793705
L18_A0.3,0.8,0.44,8.277202606201172,0.020000000000000018,0.03999999999999998,0.03618431091308594,0.051218485479209576
L18_A0.5,0.82,0.32,8.365445137023926,0.039999999999999925,-0.08000000000000002,0.12442684173583984,-0.07019695801597309
L18_A-0.3,0.8,0.52,8.29210376739502,0.020000000000000018,0.12,0.051085472106933594,0.12760214568722839
L18_A-0.5,0.78,0.44,8.368989944458008,0.0,0.03999999999999998,0.12797164916992188,0.008942758143592161
L20_A0.3,0.78,0.44,8.30869197845459,0.0,0.03999999999999998,0.0676736831665039,0.02357637836935823
L20_A0.5,0.76,0.4,8.414741516113281,-0.020000000000000018,0.0,0.1737232208251953,-0.0621606201079602
L20_A-0.3,0.8,0.48,8.257587432861328,0.020000000000000018,0.07999999999999996,0.016569137573242188,0.09597886159706358
L20_A-0.5,0.78,0.4,8.310317039489746,0.0,0.0,0.06929874420166016,-0.016818005182996053
L22_A0.3,0.78,0.4,8.25584888458252,0.0,0.0,0.014830589294433594,-0.003599212806726369
L22_A0.5,0.78,0.4,8.310009002685547,0.0,0.0,0.06899070739746094,-0.016743248206816216
L22_A-0.3,0.8,0.44,8.294612884521484,0.020000000000000018,0.03999999999999998,0.05359458923339844,0.04699321192769542
L22_A-0.5,0.8,0.48,8.366647720336914,0.020000000000000018,0.07999999999999996,0.12562942504882812,0.06951118889745493
L24_A0.3,0.76,0.44,8.309698104858398,-0.020000000000000018,0.03999999999999998,0.0686798095703125,0.0033322031066036414
L24_A0.5,0.66,0.48,8.495994567871094,-0.12,0.07999999999999996,0.2549762725830078,-0.10187979772567526
L24_A-0.3,0.84,0.36,8.342599868774414,0.05999999999999994,-0.040000000000000036,0.10158157348632812,-0.004652675154090884
L24_A-0.5,0.8,0.32,8.50185489654541,0.020000000000000018,-0.08000000000000002,0.2608366012573242,-0.12330203183906559
L26_A0.3,0.68,0.48,8.338662147521973,-0.09999999999999998,0.07999999999999996,0.09764385223388672,-0.043697035666021025
L26_A0.5,0.72,0.44,8.549485206604004,-0.06000000000000005,0.03999999999999998,0.30846691131591797,-0.09486135821159102
L26_A-0.3,0.76,0.48,8.405191421508789,-0.020000000000000018,0.07999999999999996,0.16417312622070312,0.020157077599361334
L26_A-0.5,0.76,0.44,8.678584098815918,-0.020000000000000018,0.03999999999999998,0.43756580352783203,-0.0861921689405826
